file,actual_distance_km,routed_distance_km,detour_ratio,actual_duration_min,routed_eta_min,eta_error_pct,avg_deviation_m,max_deviation_m,path_flag
20081130005725.plt,17.64,13.84,1.27,41.1,21.8,88.4,2259.8,3572.3,REVIEW
20070901022340.plt,12.78,12.34,1.04,13.3,15.1,-11.9,608.7,2023.1,OK
20081206121157.plt,11.53,11.29,1.02,19.6,12.4,58.5,42.8,235.0,OK
20081221031834.plt,13.95,12.14,1.15,14.7,16.5,-10.9,1245.1,2650.9,REVIEW
20081221011207.plt,13.55,12.68,1.07,17.0,17.2,-0.9,511.0,1629.4,OK
20081112144903.plt,10.89,11.88,0.92,34.2,19.8,72.5,294.6,1510.7,OK
20081020092505.plt,13.21,10.11,1.31,42.9,18.7,129.6,414.5,1190.4,REVIEW
20081210121623.plt,11.85,10.3,1.15,41.6,19.0,119.0,381.4,1189.9,OK
20081202040648.plt,10.05,10.38,0.97,39.5,15.3,157.5,83.1,553.4,OK
20081014085437.plt,11.2,10.16,1.1,40.8,18.7,117.9,608.9,1182.1,OK
20081103092935.plt,11.24,10.24,1.1,49.3,18.9,161.1,336.0,1199.3,OK
20081211120523.plt,11.34,10.24,1.11,37.5,18.9,98.6,567.0,1190.7,OK
20081107122641.plt,12.57,10.52,1.2,24.5,17.4,40.9,590.9,1632.8,OK
20081202091453.plt,11.26,10.24,1.1,43.7,18.9,131.5,565.3,1189.1,OK
20081202231753.plt,10.84,10.26,1.06,45.3,18.4,146.8,305.3,985.0,OK
